Source:,/home/rafael/devel/mod-arduino-shield/shield/mod-arduino-shield.sch
Date:,Tue 16 Sep 2014 12:50:19 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,48

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,AD1,HEADER_1x6,mod-arduino-shield:HEADER_1x6,MOD_Arduino_Shield_RC1:HEADER_100MIL_1R6P_PTH,
,,AD_PROTO1,HEADER_1x6,mod-arduino-shield:HEADER_1x6,MOD_Arduino_Shield_RC1:HEADER_100MIL_1R6P_PTH,
,,C1,100uF,device:CP1,MOD_Arduino_Shield_RC1:CAP_RAD_5MM,
,,C2,100nF,device:C,MOD_Arduino_Shield_RC1:SM0805,
,,C3,100nF,device:C,MOD_Arduino_Shield_RC1:SM0805,
,,C4,100nF,device:C,MOD_Arduino_Shield_RC1:SM0805,
,,C5,100nF,device:C,MOD_Arduino_Shield_RC1:SM0805,
,,C6,100nF,device:C,MOD_Arduino_Shield_RC1:SM0805,
,,C7,100uF,device:CP1,MOD_Arduino_Shield_RC1:CAP_RAD_5MM,
,,C8,100nF,device:C,MOD_Arduino_Shield_RC1:SM0805,
,,C9,100uF,device:CP1,MOD_Arduino_Shield_RC1:CAP_RAD_5MM,
,,D1,CGRA4007-G,device:DIODE,MOD_Arduino_Shield_RC1:DO-214AC(SMA),
,,D2,MMSZ5242B,device:ZENERsmall,MOD_Arduino_Shield_RC1:SOD123,
,,D3,MMSZ5242B,device:ZENERsmall,MOD_Arduino_Shield_RC1:SOD123,
,,H1,HOLE,conn:CONN_1,MOD_Arduino_Shield_RC1:HOLE_3MM,
,,IOH1,HEADER_1x10,mod-arduino-shield:HEADER_1x10,MOD_Arduino_Shield_RC1:HEADER_100MIL_1R10P_PTH,
,,IOH_PROTO1,HEADER_1x10,mod-arduino-shield:HEADER_1x10,MOD_Arduino_Shield_RC1:HEADER_100MIL_1R10P_PTH,
,,IOL1,HEADER_1x8,mod-arduino-shield:HEADER_1x8,MOD_Arduino_Shield_RC1:HEADER_100MIL_1R8P_PTH,
,,IOL_PROTO1,HEADER_1x8,mod-arduino-shield:HEADER_1x8,MOD_Arduino_Shield_RC1:HEADER_100MIL_1R8P_PTH,
,,J1,RJHSE-5084,mod-arduino-shield:RJ45_CHAIN,MOD_Arduino_Shield_RC1:RJ45-RJHSE5084,
,,J2,RJHSE-5084,mod-arduino-shield:RJ45_CHAIN,MOD_Arduino_Shield_RC1:RJ45-RJHSE5084,
,,JP1,HEADER_2x3_180,mod-arduino-shield:HEADER_2x3,MOD_Arduino_Shield_RC1:HEADER_100MIL_2R3P_PTH,
,,JP2,HEADER_1x2_180,conn:CONN_2,,
